geo\time;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Austria;:;:;:;:;:;:;:;:;1;:;:;:
Belgium;248;246;248;250;254;261;269;254;244;249;:;:
Bosnia and Herzegovina;:;:;:;:;:;:;:;:;:;:;:;:
Bulgaria;589;533;552;554;535;526;540;537;547;517;488;480
Croatia;:;:;:;:;:;:;62;62;70;59;57;62
Cyprus;20;24;14;17;23;26;35;36;15;8;21;26
Czech Republic;416;395;396;407;396;384;388;384;362;357;349;327
Denmark;:;:;5;5;8;6;1;0;0;0;0;:
Estonia;44;40;43;42;38;27;20;24;29;29;:;28
Finland;165;165;165;165;165;165;:;:;:;:;170;160
France;2212;2253;2220;2333;2275;2220;2228;2128;1649;1640;1616;:
Germany;:;1398;:;:;1419;:;:;1547;:;:;1546;:
Greece;574;564;573;589;636;631;658;648;:;:;:;604
Hungary;364;352;352;356;356;316;303;290;280;264;248;255
Iceland;3;3;3;3;3;3;:;:;:;:;:;:
Ireland;:;:;452;:;:;413;:;489;:;:;:;:
Italy;:;:;:;:;:;1227;:;:;1366;:;:;:
Latvia;:;:;:;:;:;:;:;:;37;36;35;:
Liechtenstein;:;:;:;:;:;:;:;:;:;:;:;:
Lithuania;:;:;2;3;3;2;1;1;1;0;0;0
Luxembourg;:;:;:;:;:;:;:;:;:;20;22;24
Macedonia;169;168;176;184;184;182;190;189;184;227;:;:
Malta;0;0;0;0;0;0;0;0;0;0;0;0
Montenegro;:;:;:;:;:;:;:;:;:;:;:;:
Netherlands;514;503;490;517;509;488;502;482;490;483;456;:
Norway;738;733;735;742;746;751;756;753;744;720;728;740
Poland;869;796;744;730;697;684;674;658;662;649;637;611
Portugal;:;:;:;:;:;687;552;573;590;611;:;:
Romania;1784;1700;1567;1377;1194;1153;1065;1036;1061;1032;650;622
Serbia;:;:;218;238;306;179;187;192;189;198;186;200
Slovakia;71;64;64;66;56;54;56;53;52;51;48;49
Slovenia;:;:;5;5;5;4;3;4;4;4;4;4
Spain;4163;4093;3971;4290;4426;4453;4162;4111;4208;3930;3760;:
Sweden;471;471;471;471;471;689;689;689;:;:;708;:
Switzerland;175;168;173;185;176;193;192;179;181;190;189;191
Turkey;1849;1983;2063;2164;2215;2340;2382;2406;2329;2447;2559;:
United Kingdom;:;5249;5460;5392;5551;5545;:;:;:;:;:;4614
