country;1950;1960;1970;1980;1990;2000;2010;2020;2030;2040;2050
Albania;1214;1619;2139;2735;3447;3305;3150;3243;3311;3255;3094
Austria;6938;7056;7489;7555;7670;8020;8402;8716;9005;9202;9354
Belarus;7745;8190;9040;9659;1026;9981;9491;9027;8488;7905;7359
Belgium;8628;9141;9664;9856;9978;10268;10941;11364;11664;11890;12055
Bosnia and Herzegovina;2661;3306;3719;4100;4527;3834;3846;3789;3700;3537;3332
Bulgaria;7251;7866;8495;8865;8821;8001;7389;6827;6213;5611;5077
Croatia;3850;4059;4171;4401;4794;4475;4338;4183;4015;3821;3606
Cyprus;876;876;876;876;876;876;876;876;876;876;876
Czech Republic;8876;9578;9828;10313;10326;10250;10554;10924;11053;11101;11218
Denmark;4268;4581;4930;5123;5140;5338;5551;5775;6009;6197;6361
Estonia;1101;1217;1360;1474;1565;1366;1299;1261;1212;1163;1121
Finland;4008;4430;4607;4779;4987;5176;5368;5542;5650;5673;5693
France;41832;45699;50704;53941;56846;59213;63231;66570;69286;71523;73212
Germany;70094;73336;79287;79169;80487;83512;83017;81881;79552;76354;72566
Greece;7566;8333;8793;9643;10161;10987;11110;11079;10976;10858;10668
Hungary;9338;10001;10346;10759;10385;10224;10015;9799;9525;9213;8954
Iceland;143;176;204;228;255;281;318;354;384;404;415
Ireland;2913;2829;2963;3418;3531;3804;4468;4963;5347;5688;5994
Italy;46367;49519;53324;56221;56832;56986;60509;61386;61212;60812;60015
Kosovo;1867;1867;1867;1867;1867;1867;1867;1867;1867;1867;1867
Latvia;1949;2132;2366;2513;2664;2371;2091;1973;1856;1749;1674
Lithuania;2567;2771;3137;3432;3697;3498;3068;2940;2817;2677;2557
Luxembourg;296;315;340;364;382;436;508;577;637;682;706
Macedonia;1254;1471;1692;1896;2010;2052;2102;2107;2069;1986;1881
Moldova;2341;3004;3595;4010;4364;4107;3573;3323;3066;2773;2484
Montenegro;395;479;532;579;615;611;620;620;608;586;557
Netherlands;10027;11419;12958;14087;14890;15860;16615;17033;17269;17215;16919
Norway;3265;3582;3876;4083;4240;4492;4891;5407;5838;6210;6556
Poland;24824;29646;32632;35641;38150;38351;38199;38158;37448;35840;34079
Portugal;8417;8875;8670;9765;9899;10306;10590;10579;10433;10213;9843
Romania;16236;18458;20332;22400;23372;22388;21861;21226;20232;19056;17809
Russian Federation;102799;120057;130358;138536;148149;146763;143618;140011;133556;127005;120896
Serbia;6732;7658;8236;9057;9735;10272;9647;9169;8582;7863;7074
Slovakia;3437;4137;4532;4989;5278;5388;5433;5469;5396;5204;4990
Slovenia;1473;1580;1670;1832;2004;1990;2054;2093;2086;2060;2023
Spain;28070;30419;33796;37493;38883;40283;46182;47789;48235;48504;48224
Sweden;7010;7480;8049;8311;8559;8872;9382;10033;10691;11267;11934
Switzerland;4668;5296;6169;6304;6674;7166;7831;8648;9477;10235;10977
Turkey;78254;78254;78254;78254;78254;78254;78254;78254;78254;78254;78254
Ukraine;37298;42662;47087;49974;51659;49057;46050;43164;39842;36554;33658
United Kingdom;50616;52544;55645;56303;57214;58951;62066;65600;68631;71001;73131
Europe;549043;605517;657369;694510;723248;729105;740308;743569;736364;723887;709067
